Time_UTC,US_T2_F,WECC_T2_F,CA_T2_F,LA_T2_F
2006-01-01 00:00:00,43.02,49.15,52.7,51.8
2006-01-01 01:00:00,41.81,47.68,51.3,52.14
2006-01-01 02:00:00,40.87,46.78,50.32,52.09
2006-01-01 03:00:00,40.19,46.11,49.64,51.82
2006-01-01 04:00:00,39.63,45.48,49.03,51.19
2006-01-01 05:00:00,39.18,45.01,48.51,50.34
2006-01-01 06:00:00,38.8,44.58,48.07,49.66
2006-01-01 07:00:00,38.53,44.22,47.7,49.23
2006-01-01 08:00:00,38.21,43.77,47.34,48.99
2006-01-01 09:00:00,37.9,43.25,47.03,48.9
2006-01-01 10:00:00,37.63,42.75,46.83,48.96
2006-01-01 11:00:00,37.35,42.33,46.6,48.87
2006-01-01 12:00:00,37.09,41.99,46.35,48.65
2006-01-01 13:00:00,37.31,41.56,45.93,48.15
2006-01-01 14:00:00,38.77,41.47,46.04,48.16
2006-01-01 15:00:00,41.34,41.88,46.26,47.93
2006-01-01 16:00:00,44.11,43.7,48.0,49.51
2006-01-01 17:00:00,46.76,46.31,50.61,51.76
2006-01-01 18:00:00,48.67,48.06,52.16,52.97
2006-01-01 19:00:00,49.98,49.32,53.38,54.14
2006-01-01 20:00:00,50.43,49.91,53.67,54.28
2006-01-01 21:00:00,49.84,50.36,54.01,54.84
2006-01-01 22:00:00,47.98,50.09,53.58,53.91
2006-01-01 23:00:00,46.42,49.01,52.57,52.23
2006-01-02 00:00:00,45.05,47.48,51.64,51.21
2006-01-02 01:00:00,44.11,45.97,50.29,50.16
2006-01-02 02:00:00,43.7,45.43,50.04,49.75
2006-01-02 03:00:00,43.45,45.16,50.05,49.86
2006-01-02 04:00:00,43.3,44.94,50.11,49.55
2006-01-02 05:00:00,43.21,44.83,50.18,49.39
2006-01-02 06:00:00,43.25,44.74,50.23,49.33
2006-01-02 07:00:00,43.2,44.62,50.34,49.35
2006-01-02 08:00:00,43.09,44.38,50.31,49.37
2006-01-02 09:00:00,42.98,44.17,50.27,49.59
2006-01-02 10:00:00,42.87,43.97,50.18,49.69
2006-01-02 11:00:00,42.69,43.77,50.16,50.04
2006-01-02 12:00:00,42.53,43.65,50.13,50.34
2006-01-02 13:00:00,42.6,43.52,50.07,50.65
2006-01-02 14:00:00,43.65,43.47,50.11,51.08
2006-01-02 15:00:00,45.52,43.84,50.13,51.44
2006-01-02 16:00:00,47.53,45.5,50.77,51.98
2006-01-02 17:00:00,49.15,47.5,51.6,52.36
2006-01-02 18:00:00,50.22,49.03,52.27,52.38
2006-01-02 19:00:00,50.83,50.18,52.72,52.48
2006-01-02 20:00:00,50.99,51.03,53.08,53.24
2006-01-02 21:00:00,50.54,51.37,53.06,52.88
2006-01-02 22:00:00,49.73,50.99,52.47,51.37
2006-01-02 23:00:00,48.43,49.93,51.78,50.43
2006-01-03 00:00:00,47.03,48.18,50.81,49.71
2006-01-03 01:00:00,46.06,46.78,49.82,49.19
2006-01-03 02:00:00,45.28,45.82,48.96,48.58
2006-01-03 03:00:00,44.71,44.98,47.98,47.77
2006-01-03 04:00:00,44.11,44.08,46.92,46.96
2006-01-03 05:00:00,43.57,43.38,46.04,46.22
2006-01-03 06:00:00,43.09,42.84,45.57,46.11
2006-01-03 07:00:00,42.66,42.33,45.19,45.84
2006-01-03 08:00:00,42.19,41.79,44.6,45.25
2006-01-03 09:00:00,41.72,41.27,43.99,44.47
2006-01-03 10:00:00,41.31,40.86,43.57,44.13
2006-01-03 11:00:00,40.89,40.39,43.14,43.65
2006-01-03 12:00:00,40.48,39.96,42.8,43.32
2006-01-03 13:00:00,40.21,39.56,42.46,42.85
2006-01-03 14:00:00,40.66,39.31,42.35,42.66
2006-01-03 15:00:00,41.81,39.24,42.12,42.33
2006-01-03 16:00:00,43.86,41.5,44.24,44.83
2006-01-03 17:00:00,45.84,44.82,47.97,48.6
2006-01-03 18:00:00,47.34,47.41,50.74,50.97
2006-01-03 19:00:00,48.36,49.26,52.77,52.75
2006-01-03 20:00:00,48.96,50.54,54.28,54.28
2006-01-03 21:00:00,48.96,51.24,55.26,55.35
2006-01-03 22:00:00,48.16,51.1,55.29,55.54
2006-01-03 23:00:00,46.36,50.13,54.48,54.82
2006-01-04 00:00:00,44.44,47.88,52.77,53.02
2006-01-04 01:00:00,42.98,45.18,49.6,49.33
2006-01-04 02:00:00,41.97,43.92,48.31,47.98
2006-01-04 03:00:00,41.16,43.23,47.77,47.46
2006-01-04 04:00:00,40.46,42.78,47.52,47.1
2006-01-04 05:00:00,39.85,42.49,47.3,46.74
2006-01-04 06:00:00,39.36,42.3,47.16,46.54
2006-01-04 07:00:00,38.98,42.08,47.05,46.71
2006-01-04 08:00:00,38.66,41.81,46.98,46.99
2006-01-04 09:00:00,38.39,41.72,47.16,47.39
2006-01-04 10:00:00,38.07,41.61,47.25,47.82
2006-01-04 11:00:00,37.69,41.43,47.19,47.97
2006-01-04 12:00:00,37.35,41.27,47.17,48.29
2006-01-04 13:00:00,37.36,41.05,47.08,48.54
2006-01-04 14:00:00,38.52,40.82,46.96,48.6
