Time_UTC,WECC_Load_MWh,CA_Load_MWh
2046-01-01 00:00:00,120935.16,45837.81
2046-01-01 01:00:00,125970.0,47690.0
2046-01-01 02:00:00,129301.47,49338.07
2046-01-01 03:00:00,132014.51,51315.34
2046-01-01 04:00:00,133429.84,52946.39
2046-01-01 05:00:00,130484.92,52065.3
2046-01-01 06:00:00,124608.15000000001,49652.16
2046-01-01 07:00:00,118410.48,47008.33
2046-01-01 08:00:00,112767.87000000001,44572.15
2046-01-01 09:00:00,108441.12,42208.82
2046-01-01 10:00:00,106265.34,40623.16
2046-01-01 11:00:00,105895.0,39649.75
2046-01-01 12:00:00,107458.66,39613.7
2046-01-01 13:00:00,110420.55,40295.46
2046-01-01 14:00:00,113743.18000000001,40934.92
2046-01-01 15:00:00,117576.97,41637.95
2046-01-01 16:00:00,122535.14,44233.43
2046-01-01 17:00:00,125928.63,45867.03
2046-01-01 18:00:00,127506.32,46800.15
2046-01-01 19:00:00,128168.87,47520.67
2046-01-01 20:00:00,128824.90000000001,48429.35
2046-01-01 21:00:00,128742.38,49017.58
2046-01-01 22:00:00,127725.72,48700.06
2046-01-01 23:00:00,127033.39,48087.31
2046-01-02 00:00:00,133318.58,52775.49
2046-01-02 01:00:00,137723.83,53877.81
2046-01-02 02:00:00,139820.59,54663.84
2046-01-02 03:00:00,141504.82,55705.17
2046-01-02 04:00:00,141321.84,56548.53
2046-01-02 05:00:00,137532.98,55810.58
2046-01-02 06:00:00,130862.66,53294.94
2046-01-02 07:00:00,123471.25,50194.84
2046-01-02 08:00:00,116455.33,47009.4
2046-01-02 09:00:00,111452.23,44314.61
2046-01-02 10:00:00,109425.2,42536.24
2046-01-02 11:00:00,109905.21,41907.11
2046-01-02 12:00:00,112753.73000000001,42462.72
2046-01-02 13:00:00,116593.32,43475.87
2046-01-02 14:00:00,120665.46,44574.41
2046-01-02 15:00:00,125472.07,45770.94
2046-01-02 16:00:00,130258.79000000001,48488.51
2046-01-02 17:00:00,133395.29,51270.94
2046-01-02 18:00:00,134069.9,52810.01
2046-01-02 19:00:00,134040.21,53795.27
2046-01-02 20:00:00,134885.05,55386.5
2046-01-02 21:00:00,135359.48,56218.57
2046-01-02 22:00:00,134345.38999999998,55348.08
2046-01-02 23:00:00,133249.0,53861.75
2046-01-03 00:00:00,133713.6,53471.89
2046-01-03 01:00:00,136446.16,53941.95
2046-01-03 02:00:00,138147.91,54292.46
2046-01-03 03:00:00,139585.34,54609.77
2046-01-03 04:00:00,139874.51,55587.04
2046-01-03 05:00:00,137031.09,55821.74
2046-01-03 06:00:00,130126.4,52903.74
2046-01-03 07:00:00,122640.89,49518.88
2046-01-03 08:00:00,115670.27,46282.45
2046-01-03 09:00:00,110680.08,43502.6
2046-01-03 10:00:00,108732.36,41666.71
2046-01-03 11:00:00,109991.75,41475.8
2046-01-03 12:00:00,113421.17,42326.66
2046-01-03 13:00:00,117184.69,43208.12
2046-01-03 14:00:00,121223.84999999999,44188.1
2046-01-03 15:00:00,126107.94,45305.1
2046-01-03 16:00:00,133038.86000000002,49801.8
2046-01-03 17:00:00,134108.46,50263.98
2046-01-03 18:00:00,131937.37,49866.21
2046-01-03 19:00:00,129983.89,49483.46
2046-01-03 20:00:00,128998.91,49421.67
2046-01-03 21:00:00,128203.79,49207.59
2046-01-03 22:00:00,128652.33,49596.51
2046-01-03 23:00:00,129802.77,50290.94
2046-01-04 00:00:00,131457.29,49363.23
2046-01-04 01:00:00,136308.49,51810.57
2046-01-04 02:00:00,139375.22,53387.33
2046-01-04 03:00:00,141817.23,54760.77
2046-01-04 04:00:00,141985.93,56002.2
2046-01-04 05:00:00,137511.72,55097.28
2046-01-04 06:00:00,129557.37,51608.92
2046-01-04 07:00:00,121889.27,48206.15
2046-01-04 08:00:00,114760.55,44861.1
2046-01-04 09:00:00,109385.82,41897.98
2046-01-04 10:00:00,107575.69,40358.23
2046-01-04 11:00:00,108749.19,40155.17
2046-01-04 12:00:00,112185.59999999999,40977.29
2046-01-04 13:00:00,116105.65,41898.7
2046-01-04 14:00:00,120376.14,42896.06
2046-01-04 15:00:00,125547.08,44077.02
2046-01-04 16:00:00,132657.79,48862.76
2046-01-04 17:00:00,133459.93,49602.39
2046-01-04 18:00:00,130900.7,49488.2
2046-01-04 19:00:00,128820.84,49547.13
2046-01-04 20:00:00,127363.16,49466.55
2046-01-04 21:00:00,126343.99,49317.8
2046-01-04 22:00:00,125685.71,48926.36
2046-01-04 23:00:00,127230.47,49597.79
2046-01-05 00:00:00,127962.9,48843.39
2046-01-05 01:00:00,134199.63,51294.17
2046-01-05 02:00:00,136679.88,51957.28
2046-01-05 03:00:00,139412.52,53091.45
2046-01-05 04:00:00,139922.95,54337.79
2046-01-05 05:00:00,136499.9,54506.89
2046-01-05 06:00:00,129460.14,51750.93
2046-01-05 07:00:00,122116.44,48626.17
2046-01-05 08:00:00,115129.25,45555.93
2046-01-05 09:00:00,109777.92,42721.9
2046-01-05 10:00:00,107272.5,40670.22
2046-01-05 11:00:00,107694.17,39906.32
2046-01-05 12:00:00,110378.3,40250.65
2046-01-05 13:00:00,113888.02,40965.11
2046-01-05 14:00:00,117531.78,41818.81
2046-01-05 15:00:00,122161.32999999999,42824.99
2046-01-05 16:00:00,129192.36,47899.62
2046-01-05 17:00:00,130038.26000000001,48718.41
2046-01-05 18:00:00,129085.58,49122.81
2046-01-05 19:00:00,128227.31,49344.38
2046-01-05 20:00:00,127922.04,49485.08
2046-01-05 21:00:00,127910.37999999999,49622.28
2046-01-05 22:00:00,127817.02,49684.23
2046-01-05 23:00:00,128555.89,50143.89
2046-01-06 00:00:00,126355.82,49004.23
2046-01-06 01:00:00,130394.62999999999,50490.81
2046-01-06 02:00:00,131757.07,50481.81
2046-01-06 03:00:00,133315.58000000002,51262.41
2046-01-06 04:00:00,133440.25,52160.68
2046-01-06 05:00:00,131438.53,52551.63
2046-01-06 06:00:00,126059.19,50348.57
2046-01-06 07:00:00,119552.23,47406.29
2046-01-06 08:00:00,113597.24,44578.0
2046-01-06 09:00:00,108871.84,42185.17
2046-01-06 10:00:00,105810.57,40372.41
2046-01-06 11:00:00,104410.84999999999,39082.84
2046-01-06 12:00:00,104601.76000000001,38611.87
2046-01-06 13:00:00,105772.81,38581.17
2046-01-06 14:00:00,107408.98999999999,38817.63
2046-01-06 15:00:00,109610.87999999999,39164.18
2046-01-06 16:00:00,113045.76,41350.17
2046-01-06 17:00:00,113927.0,41668.93
2046-01-06 18:00:00,114605.31,42093.56
2046-01-06 19:00:00,114956.59999999999,42319.74
2046-01-06 20:00:00,114980.05,42333.37
2046-01-06 21:00:00,114554.03,42138.39
2046-01-06 22:00:00,114391.55,42060.94
2046-01-06 23:00:00,115294.56,42943.82
2046-01-07 00:00:00,124394.05,47847.44
2046-01-07 01:00:00,129249.3,50246.97
2046-01-07 02:00:00,130553.6,50368.9
2046-01-07 03:00:00,132336.11000000002,51241.68
2046-01-07 04:00:00,132588.22,52116.91
2046-01-07 05:00:00,129245.55,51476.68
2046-01-07 06:00:00,123181.1,48557.07
2046-01-07 07:00:00,117021.22,45718.08
2046-01-07 08:00:00,111105.37,43000.0
2046-01-07 09:00:00,106524.13,40564.18
2046-01-07 10:00:00,103804.29,38905.17
2046-01-07 11:00:00,102867.42,38026.77
2046-01-07 12:00:00,103407.89,37846.74
2046-01-07 13:00:00,104752.61,37999.69
2046-01-07 14:00:00,106708.45999999999,38351.03
2046-01-07 15:00:00,109170.84,38853.93
2046-01-07 16:00:00,112549.51,40891.0
2046-01-07 17:00:00,114586.66,42082.11
2046-01-07 18:00:00,115314.19,42307.51
2046-01-07 19:00:00,115900.99,42584.5
2046-01-07 20:00:00,116220.24,42629.15
2046-01-07 21:00:00,116365.34000000001,42544.66
2046-01-07 22:00:00,116410.35,42579.97
2046-01-07 23:00:00,116278.66,42741.09
2046-01-08 00:00:00,128734.38,48860.12
2046-01-08 01:00:00,134453.48,51479.3
2046-01-08 02:00:00,137347.59,52778.09
2046-01-08 03:00:00,139643.80000000002,53949.96
2046-01-08 04:00:00,140194.81,55274.33
2046-01-08 05:00:00,136701.61000000002,55215.64
2046-01-08 06:00:00,129169.58,51885.75
2046-01-08 07:00:00,121835.5,48608.75
2046-01-08 08:00:00,115061.66,45422.07
2046-01-08 09:00:00,109896.51,42607.11
2046-01-08 10:00:00,107785.55,41052.29
2046-01-08 11:00:00,108722.0,40640.78
2046-01-08 12:00:00,112129.7,41452.6
2046-01-08 13:00:00,116050.09999999999,42395.45
