Time_UTC,US_T2_F,WECC_T2_F,CA_T2_F,LA_T2_F
2046-01-01 00:00:00,46.02,51.89,55.18,54.54
2046-01-01 01:00:00,44.87,50.38,53.74,54.84
2046-01-01 02:00:00,44.04,49.42,52.72,54.63
2046-01-01 03:00:00,43.38,48.69,51.98,54.16
2046-01-01 04:00:00,42.8,48.07,51.42,53.47
2046-01-01 05:00:00,42.33,47.64,50.99,52.84
2046-01-01 06:00:00,41.99,47.25,50.56,52.14
2046-01-01 07:00:00,41.67,46.85,50.14,51.64
2046-01-01 08:00:00,41.25,46.38,49.77,51.44
2046-01-01 09:00:00,40.82,45.82,49.42,51.33
2046-01-01 10:00:00,40.5,45.32,49.17,51.33
2046-01-01 11:00:00,40.28,44.94,48.94,51.17
2046-01-01 12:00:00,40.05,44.56,48.67,50.9
2046-01-01 13:00:00,40.21,44.13,48.25,50.29
2046-01-01 14:00:00,41.61,44.04,48.34,50.34
2046-01-01 15:00:00,44.17,44.51,48.69,50.41
2046-01-01 16:00:00,46.94,46.33,50.34,51.82
2046-01-01 17:00:00,49.68,48.92,52.88,53.96
2046-01-01 18:00:00,51.75,50.59,54.34,54.93
2046-01-01 19:00:00,53.1,51.78,55.36,55.87
2046-01-01 20:00:00,53.65,52.38,55.67,56.25
2046-01-01 21:00:00,53.26,52.75,55.89,56.75
2046-01-01 22:00:00,51.1,52.45,55.44,55.71
2046-01-01 23:00:00,49.42,51.51,54.59,54.19
2046-01-02 00:00:00,48.07,50.04,53.78,53.4
2046-01-02 01:00:00,47.14,48.56,52.45,52.52
2046-01-02 02:00:00,46.6,48.0,52.16,51.98
2046-01-02 03:00:00,46.27,47.79,52.3,52.03
2046-01-02 04:00:00,46.15,47.61,52.45,51.76
2046-01-02 05:00:00,46.0,47.41,52.48,51.51
2046-01-02 06:00:00,45.97,47.3,52.5,51.44
2046-01-02 07:00:00,45.91,47.12,52.52,51.33
2046-01-02 08:00:00,45.79,46.87,52.43,51.17
2046-01-02 09:00:00,45.68,46.69,52.41,51.37
2046-01-02 10:00:00,45.52,46.47,52.36,51.57
2046-01-02 11:00:00,45.36,46.31,52.32,51.94
2046-01-02 12:00:00,45.14,46.17,52.32,52.32
2046-01-02 13:00:00,45.28,46.02,52.3,52.59
2046-01-02 14:00:00,46.36,45.95,52.32,53.1
2046-01-02 15:00:00,48.27,46.33,52.39,53.55
2046-01-02 16:00:00,50.29,48.02,53.13,54.25
2046-01-02 17:00:00,51.94,50.07,54.01,54.75
2046-01-02 18:00:00,53.06,51.67,54.68,54.97
2046-01-02 19:00:00,53.74,52.84,55.04,55.08
2046-01-02 20:00:00,53.91,53.65,55.29,55.6
2046-01-02 21:00:00,53.49,54.03,55.27,55.36
2046-01-02 22:00:00,52.56,53.69,54.77,53.82
2046-01-02 23:00:00,51.19,52.68,54.09,52.81
2046-01-03 00:00:00,49.75,50.88,53.13,52.07
2046-01-03 01:00:00,48.7,49.41,52.05,51.55
2046-01-03 02:00:00,47.95,48.45,51.15,50.95
2046-01-03 03:00:00,47.34,47.55,50.2,49.98
2046-01-03 04:00:00,46.83,46.72,49.26,49.01
2046-01-03 05:00:00,46.36,46.02,48.4,48.34
2046-01-03 06:00:00,45.9,45.46,47.82,48.13
2046-01-03 07:00:00,45.43,44.87,47.37,47.7
2046-01-03 08:00:00,44.96,44.33,46.81,47.12
2046-01-03 09:00:00,44.49,43.83,46.35,46.87
2046-01-03 10:00:00,44.02,43.36,45.91,46.51
2046-01-03 11:00:00,43.59,42.87,45.52,46.13
