Time_UTC,WECC_Load_MWh,CA_Load_MWh
2086-01-01 00:00:00,203269.24,80484.05
2086-01-01 01:00:00,211004.36000000002,83408.36
2086-01-01 02:00:00,216628.97,86169.38
2086-01-01 03:00:00,221489.27,89459.27
2086-01-01 04:00:00,223894.8,92418.48
2086-01-01 05:00:00,219145.97,90917.18
2086-01-01 06:00:00,209492.99,86823.68
2086-01-01 07:00:00,199073.63999999998,82165.26
2086-01-01 08:00:00,189551.59000000003,77979.07
2086-01-01 09:00:00,182335.54,73906.6
2086-01-01 10:00:00,178465.55000000002,71027.96
2086-01-01 11:00:00,177605.93,69277.28
2086-01-01 12:00:00,180094.41999999998,69258.05
2086-01-01 13:00:00,185082.02000000002,70476.96
2086-01-01 14:00:00,190506.77,71596.94
2086-01-01 15:00:00,196331.77,72605.06
2086-01-01 16:00:00,205585.76,77663.95
2086-01-01 17:00:00,210895.15,80273.37
2086-01-01 18:00:00,213521.39,82024.82
2086-01-01 19:00:00,214960.01,83368.51
2086-01-01 20:00:00,216138.87000000002,84791.85
2086-01-01 21:00:00,216182.23,85838.62
2086-01-01 22:00:00,214971.52000000002,85645.82
2086-01-01 23:00:00,213634.42,84560.7
2086-01-02 00:00:00,224730.65,92294.36
2086-01-02 01:00:00,231034.03999999998,94001.86
2086-01-02 02:00:00,234501.66,95544.34
2086-01-02 03:00:00,237559.15,97306.75
2086-01-02 04:00:00,237460.32,98744.53
2086-01-02 05:00:00,230892.53,97457.21
2086-01-02 06:00:00,219606.69,92976.83
2086-01-02 07:00:00,206982.25,87374.43
2086-01-02 08:00:00,195385.24,81921.89
2086-01-02 09:00:00,187076.6,77325.35
2086-01-02 10:00:00,183501.01,74171.58
2086-01-02 11:00:00,184264.08000000002,73074.79
2086-01-02 12:00:00,188959.64,74070.57
2086-01-02 13:00:00,195151.22,75761.89
2086-01-02 14:00:00,201862.97,77771.46
2086-01-02 15:00:00,210116.6,80134.5
2086-01-02 16:00:00,219044.57,85643.51
2086-01-02 17:00:00,224152.3,90453.25
2086-01-02 18:00:00,225143.98,92767.88
2086-01-02 19:00:00,226064.67,95117.62
2086-01-02 20:00:00,227349.13999999998,97663.54
2086-01-02 21:00:00,227811.62,98860.93
2086-01-02 22:00:00,225929.06,97351.25
2086-01-02 23:00:00,223421.81,94221.95
2086-01-03 00:00:00,224250.83000000002,93600.1
2086-01-03 01:00:00,228796.75999999998,94345.67
2086-01-03 02:00:00,231442.73,94852.9
2086-01-03 03:00:00,233913.01,95375.65
2086-01-03 04:00:00,234482.31,96957.14
2086-01-03 05:00:00,230055.84,97465.87
2086-01-03 06:00:00,218886.69,92493.33
2086-01-03 07:00:00,206179.23,86534.7
2086-01-03 08:00:00,194315.22999999998,80856.76
2086-01-03 09:00:00,185663.44,75953.02
2086-01-03 10:00:00,182101.86,72691.93
2086-01-03 11:00:00,183870.1,72296.59
2086-01-03 12:00:00,189496.97999999998,73834.31
2086-01-03 13:00:00,195859.07,75435.9
2086-01-03 14:00:00,202612.97,77238.39
2086-01-03 15:00:00,210751.43,79216.98
2086-01-03 16:00:00,222314.92,86957.32
2086-01-03 17:00:00,223931.37,87722.59
2086-01-03 18:00:00,220641.4,87076.0
2086-01-03 19:00:00,217707.26,86468.37
2086-01-03 20:00:00,216049.13999999998,86227.68
2086-01-03 21:00:00,214760.08,85942.16
2086-01-03 22:00:00,215199.77000000002,86482.11
2086-01-03 23:00:00,217756.5,87911.51
2086-01-04 00:00:00,220221.51,86396.94
2086-01-04 01:00:00,228376.44,90518.9
2086-01-04 02:00:00,233498.42,93274.42
2086-01-04 03:00:00,237561.27,95663.76
2086-01-04 04:00:00,237733.46000000002,97832.3
2086-01-04 05:00:00,230340.14,96209.86
2086-01-04 06:00:00,217315.07,90052.18
2086-01-04 07:00:00,204430.55000000002,84126.55
2086-01-04 08:00:00,192447.59,78319.37
2086-01-04 09:00:00,183438.34,73214.08
2086-01-04 10:00:00,180449.32,70610.86
2086-01-04 11:00:00,182280.02,70205.09
2086-01-04 12:00:00,187796.77000000002,71613.37
2086-01-04 13:00:00,194246.79,73224.3
2086-01-04 14:00:00,201139.44999999998,74945.4
2086-01-04 15:00:00,209075.35,76670.26
2086-01-04 16:00:00,222118.7,85757.0
2086-01-04 17:00:00,222834.91,86809.32
2086-01-04 18:00:00,219011.52,86538.45
2086-01-04 19:00:00,215849.41,86649.99
2086-01-04 20:00:00,213568.97,86500.49
2086-01-04 21:00:00,211999.23,86256.69
2086-01-04 22:00:00,210771.79,85511.32
2086-01-04 23:00:00,213367.53999999998,86732.04
2086-01-05 00:00:00,206304.16999999998,81440.03
2086-01-05 01:00:00,217281.14,86609.25
2086-01-05 02:00:00,221158.69,87451.57
2086-01-05 03:00:00,224875.3,88995.42
2086-01-05 04:00:00,225353.25999999998,90530.79
2086-01-05 05:00:00,221966.53,91614.16
2086-01-05 06:00:00,212543.35,88097.93
2086-01-05 07:00:00,202298.97,83649.59
2086-01-05 08:00:00,192535.66,79102.45
2086-01-05 09:00:00,184325.23,74546.85
2086-01-05 10:00:00,179014.66,70907.3
2086-01-05 11:00:00,176993.91,68909.23
2086-01-05 12:00:00,177723.15,68366.61
2086-01-05 13:00:00,179974.84000000003,68455.72
2086-01-05 14:00:00,182905.85,68917.46
2086-01-05 15:00:00,186963.30000000002,69444.11
2086-01-05 16:00:00,192869.08000000002,72904.12
2086-01-05 17:00:00,195082.05,73734.41
2086-01-05 18:00:00,195967.98,74646.53
2086-01-05 19:00:00,196584.95,75194.01
2086-01-05 20:00:00,196271.38999999998,75382.34
2086-01-05 21:00:00,195585.4,75459.94
2086-01-05 22:00:00,194863.35,75583.3
2086-01-05 23:00:00,195614.15,76520.49
2086-01-06 00:00:00,212278.54,85900.02
2086-01-06 01:00:00,219309.45,88634.22
2086-01-06 02:00:00,221364.31,88518.63
2086-01-06 03:00:00,223786.94,89750.11
2086-01-06 04:00:00,224004.31,91240.53
2086-01-06 05:00:00,220825.16999999998,91912.68
2086-01-06 06:00:00,211657.27000000002,88069.52
2086-01-06 07:00:00,200958.16999999998,82947.7
2086-01-06 08:00:00,191047.53,78147.04
2086-01-06 09:00:00,183088.24,73999.89
2086-01-06 10:00:00,177910.68,70708.48
2086-01-06 11:00:00,175380.11000000002,68405.46
2086-01-06 12:00:00,175573.32,67477.52
2086-01-06 13:00:00,177449.21,67408.26
2086-01-06 14:00:00,180046.03,67732.04
2086-01-06 15:00:00,183617.03999999998,68227.04
2086-01-06 16:00:00,189474.25999999998,72107.68
2086-01-06 17:00:00,191126.11000000002,72883.3
2086-01-06 18:00:00,192022.78,73578.73
2086-01-06 19:00:00,192754.71,74046.9
2086-01-06 20:00:00,192659.67,74035.49
2086-01-06 21:00:00,192036.98,73823.77
2086-01-06 22:00:00,191851.13,73669.93
2086-01-06 23:00:00,193428.17,75173.05
2086-01-07 00:00:00,216620.61,87557.08
2086-01-07 01:00:00,225132.29,91837.79
2086-01-07 02:00:00,228227.99000000002,92880.82
2086-01-07 03:00:00,232144.26,95006.68
2086-01-07 04:00:00,233383.9,97274.67
2086-01-07 05:00:00,225953.15,95185.09
2086-01-07 06:00:00,213344.75,89131.15
2086-01-07 07:00:00,201315.02,83227.75
2086-01-07 08:00:00,189878.22,77804.9
2086-01-07 09:00:00,181331.11000000002,73279.39
2086-01-07 10:00:00,177648.77,70489.52
2086-01-07 11:00:00,178442.74000000002,69583.66
2086-01-07 12:00:00,183305.1,70959.39
2086-01-07 13:00:00,189388.13999999998,72668.14
2086-01-07 14:00:00,195948.02,74646.2
2086-01-07 15:00:00,204005.36,76996.94
2086-01-07 16:00:00,214441.66,84440.37
2086-01-07 17:00:00,216557.24,86155.05
2086-01-07 18:00:00,215181.7,85973.06
2086-01-07 19:00:00,214378.86,86165.44
2086-01-07 20:00:00,214382.06999999998,86298.68
2086-01-07 21:00:00,213572.69999999998,85778.5
2086-01-07 22:00:00,213337.43,85500.12
2086-01-07 23:00:00,215427.34,86761.37
2086-01-08 00:00:00,216611.96,86046.1
2086-01-08 01:00:00,225516.8,90129.13
2086-01-08 02:00:00,230131.93,92235.45
2086-01-08 03:00:00,234093.93,94234.39
2086-01-08 04:00:00,235205.43,96546.32
2086-01-08 05:00:00,229485.31,96443.35
2086-01-08 06:00:00,216817.5,90625.99
2086-01-08 07:00:00,204447.27,84873.12
2086-01-08 08:00:00,193026.9,79269.95
2086-01-08 09:00:00,184206.68000000002,74376.74
2086-01-08 10:00:00,180504.33,71628.16
2086-01-08 11:00:00,181920.38,70833.5
2086-01-08 12:00:00,187409.21,72220.86
2086-01-08 13:00:00,193781.37,73789.76
2086-01-08 14:00:00,200667.34,75682.2
2086-01-08 15:00:00,209287.1,77747.7
2086-01-08 16:00:00,221228.59,86223.29
2086-01-08 17:00:00,221464.06999999998,86727.29
2086-01-08 18:00:00,218636.96,86283.34
2086-01-08 19:00:00,215886.56,85873.3
2086-01-08 20:00:00,213807.92,85332.14
2086-01-08 21:00:00,212871.51,85156.21
2086-01-08 22:00:00,212522.5,84869.74
2086-01-08 23:00:00,214068.94999999998,85370.09
2086-01-09 00:00:00,215127.02000000002,84460.07
2086-01-09 01:00:00,226572.52,90160.89
2086-01-09 02:00:00,231581.99000000002,92024.66
2086-01-09 03:00:00,235923.47,94285.65
2086-01-09 04:00:00,237102.59999999998,96489.9
2086-01-09 05:00:00,231078.09999999998,96092.04
2086-01-09 06:00:00,218652.07,90446.72
2086-01-09 07:00:00,205780.2,84752.35
2086-01-09 08:00:00,194337.59,79292.85
2086-01-09 09:00:00,185788.78,74386.17
2086-01-09 10:00:00,183210.24,71736.55
2086-01-09 11:00:00,184629.13999999998,71032.9
2086-01-09 12:00:00,189909.13,72387.11
2086-01-09 13:00:00,196264.94,73846.55
2086-01-09 14:00:00,203087.13,75510.99
2086-01-09 15:00:00,210626.8,77240.58
2086-01-09 16:00:00,222355.12,86171.16
2086-01-09 17:00:00,222301.96,86153.04
2086-01-09 18:00:00,220118.66,85739.21
2086-01-09 19:00:00,217756.49,85092.31
2086-01-09 20:00:00,216078.34,84687.78
2086-01-09 21:00:00,214902.62000000002,84558.96
2086-01-09 22:00:00,214406.19,84524.21
2086-01-09 23:00:00,214897.5,84459.92
2086-01-10 00:00:00,216292.2,82927.7
2086-01-10 01:00:00,226741.28,88509.04
2086-01-10 02:00:00,231403.17,90882.85
2086-01-10 03:00:00,235701.83000000002,93474.13
2086-01-10 04:00:00,237065.00999999998,96071.15
2086-01-10 05:00:00,231719.25,95698.13
2086-01-10 06:00:00,219584.78,90226.09
2086-01-10 07:00:00,207333.16999999998,84590.45
2086-01-10 08:00:00,196507.55,79421.09
2086-01-10 09:00:00,188515.13,74738.19
2086-01-10 10:00:00,185820.88,72274.21
