Time_UTC,US_T2_F,WECC_T2_F,CA_T2_F,LA_T2_F
2086-01-01 00:00:00,52.68,58.24,60.94,60.03
2086-01-01 01:00:00,51.53,56.73,59.47,60.3
2086-01-01 02:00:00,50.74,55.8,58.51,60.17
2086-01-01 03:00:00,50.11,55.09,57.96,59.79
2086-01-01 04:00:00,49.59,54.54,57.54,59.2
2086-01-01 05:00:00,49.14,54.05,57.11,58.32
2086-01-01 06:00:00,48.76,53.64,56.71,57.72
2086-01-01 07:00:00,48.45,53.24,56.28,57.27
2086-01-01 08:00:00,48.09,52.7,55.89,57.02
2086-01-01 09:00:00,47.66,52.11,55.51,56.84
2086-01-01 10:00:00,47.34,51.55,55.13,56.75
2086-01-01 11:00:00,47.08,51.1,54.81,56.5
2086-01-01 12:00:00,46.87,50.74,54.57,56.25
2086-01-01 13:00:00,47.01,50.34,54.27,55.83
2086-01-01 14:00:00,48.61,50.27,54.32,55.76
2086-01-01 15:00:00,51.33,50.72,54.59,55.58
2086-01-01 16:00:00,54.46,52.9,56.64,57.38
2086-01-01 17:00:00,57.13,55.51,59.31,59.58
2086-01-01 18:00:00,59.09,57.36,61.12,61.52
2086-01-01 19:00:00,60.46,58.68,62.17,62.47
2086-01-01 20:00:00,60.98,59.31,62.31,62.8
2086-01-01 21:00:00,60.33,59.22,61.57,61.14
2086-01-01 22:00:00,58.46,58.62,60.55,59.4
2086-01-01 23:00:00,56.7,57.7,59.72,58.71
2086-01-02 00:00:00,55.04,55.98,58.59,57.43
2086-01-02 01:00:00,54.05,54.63,57.72,56.68
2086-01-02 02:00:00,53.49,54.09,57.65,56.88
2086-01-02 03:00:00,53.11,53.98,57.99,57.18
2086-01-02 04:00:00,52.79,53.82,58.14,57.15
2086-01-02 05:00:00,52.52,53.64,58.26,57.16
2086-01-02 06:00:00,52.32,53.44,58.28,57.11
2086-01-02 07:00:00,52.18,53.28,58.3,57.06
2086-01-02 08:00:00,51.98,52.99,58.19,57.0
2086-01-02 09:00:00,51.89,52.75,58.17,57.22
2086-01-02 10:00:00,51.82,52.54,58.1,57.42
2086-01-02 11:00:00,51.75,52.39,58.05,57.78
2086-01-02 12:00:00,51.66,52.23,58.05,58.15
2086-01-02 13:00:00,51.82,52.12,58.1,58.57
2086-01-02 14:00:00,52.9,52.11,58.14,59.05
2086-01-02 15:00:00,54.79,52.48,58.23,59.4
2086-01-02 16:00:00,56.75,54.07,58.8,59.92
2086-01-02 17:00:00,58.44,56.17,59.58,60.75
2086-01-02 18:00:00,59.52,57.63,59.94,60.42
2086-01-02 19:00:00,60.19,58.86,60.24,60.49
2086-01-02 20:00:00,60.4,59.68,60.53,60.98
2086-01-02 21:00:00,59.99,60.1,60.51,60.94
2086-01-02 22:00:00,59.14,59.77,59.92,59.65
2086-01-02 23:00:00,57.76,58.68,59.04,58.73
2086-01-03 00:00:00,56.3,56.79,58.03,57.85
2086-01-03 01:00:00,55.29,55.26,57.0,57.31
2086-01-03 02:00:00,54.52,54.3,56.25,56.62
2086-01-03 03:00:00,53.85,53.44,55.38,55.49
2086-01-03 04:00:00,53.26,52.63,54.48,54.55
2086-01-03 05:00:00,52.79,52.07,53.92,54.19
2086-01-03 06:00:00,52.34,51.6,53.46,53.83
2086-01-03 07:00:00,51.93,51.12,53.13,53.6
2086-01-03 08:00:00,51.46,50.56,52.65,53.2
2086-01-03 09:00:00,51.06,50.09,52.34,53.13
2086-01-03 10:00:00,50.67,49.69,52.05,53.02
2086-01-03 11:00:00,50.31,49.28,51.75,52.83
2086-01-03 12:00:00,49.95,48.94,51.46,52.47
2086-01-03 13:00:00,49.78,48.63,51.24,52.09
2086-01-03 14:00:00,50.4,48.4,51.15,51.91
2086-01-03 15:00:00,51.69,48.51,51.01,51.67
2086-01-03 16:00:00,53.83,50.76,53.22,54.12
2086-01-03 17:00:00,55.96,54.12,56.89,57.67
2086-01-03 18:00:00,57.61,56.86,59.79,60.17
2086-01-03 19:00:00,58.73,58.73,61.77,62.02
2086-01-03 20:00:00,59.36,59.99,63.21,63.46
2086-01-03 21:00:00,59.36,60.57,63.93,64.24
